Data Import Template,,,,,,,,,,,,,,,,
Table:,Customer,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Column Labels,ID,Customer Name,Customer Type,Customer Group,Territory,Company,Series,Lead Ref,Default Price List,Default Currency,Customer Details,Credit Days,Credit Limit,Website,Default Sales Partner,Default Commission Rate
Column Name:,name,customer_name,customer_type,customer_group,territory,company,naming_series,lead_name,default_price_list,default_currency,customer_details,credit_days,credit_limit,website,default_sales_partner,default_commission_rate
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Link,Link,Link,Select,Link,Link,Link,Text,Int,Currency,Data,Link,Float
Info:,,,"One of: Company, Individual",Valid Customer Group,Valid Territory,Valid Company,"One of: CUST, CUSTMUM",Valid Lead,Valid Price List,Valid Currency,,Integer,,,Valid Sales Partner,
Start entering data below this line,,,,,,,,,,,,,,,,
,,Asian Junction,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Life Plan Counselling,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Two Pesos,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Mr Fables,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Intelacard,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Big D Supermarkets,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Adaptas,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Nelson Brothers,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Landskip Yard Care,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Buttrey Food & Drug,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Fayva,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Asian Fusion,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Crafts Canada,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Consumers and Consumers Express,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Netobill,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Choices,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Chi-Chis,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Red Food,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,
,,Endicott Shoes,Company,Commercial,Rest Of The World,Wind Power LLC,,,,,,,,,,